Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=53, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=10.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=3, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 104, total numsteps: 2109, return: -2.89
Episode: 105, total numsteps: 2124, return: 0.17
Episode: 106, total numsteps: 2138, return: 0.99
Episode: 107, total numsteps: 2148, return: -2.53
Episode: 108, total numsteps: 2161, return: -3.61
Episode: 109, total numsteps: 2172, return: -1.49
Episode: 110, total numsteps: 2210, return: 5.14
Episode: 111, total numsteps: 2242, return: 8.7
Episode: 112, total numsteps: 2267, return: -1.5
Episode: 113, total numsteps: 2293, return: 6.14
Episode: 114, total numsteps: 2308, return: 1.55
Episode: 115, total numsteps: 2333, return: -11.33
Episode: 116, total numsteps: 2405, return: 13.36
Episode: 117, total numsteps: 2420, return: -8.23
Episode: 118, total numsteps: 2454, return: 12.06
Episode: 119, total numsteps: 2471, return: -3.27
Episode: 120, total numsteps: 2492, return: 6.3
Episode: 121, total numsteps: 2504, return: -2.94
Episode: 122, total numsteps: 2518, return: -1.55
Episode: 123, total numsteps: 2544, return: 14.34
Episode: 124, total numsteps: 2566, return: 0.92
Episode: 125, total numsteps: 2574, return: -6.85
Episode: 126, total numsteps: 2591, return: 3.83
Episode: 127, total numsteps: 2605, return: -3.31
Episode: 128, total numsteps: 2631, return: 1.45
Episode: 129, total numsteps: 2647, return: 0.6
Episode: 130, total numsteps: 2665, return: 4.13
Episode: 131, total numsteps: 2676, return: -0.62
Episode: 132, total numsteps: 2694, return: 6.5
Episode: 133, total numsteps: 2706, return: -1.81
Episode: 134, total numsteps: 2734, return: -7.59
Episode: 135, total numsteps: 2756, return: -0.27
Episode: 136, total numsteps: 2769, return: 2.2
Episode: 137, total numsteps: 2785, return: -1.66
Episode: 138, total numsteps: 2810, return: 6.23
Episode: 139, total numsteps: 2825, return: -0.46
Episode: 140, total numsteps: 2836, return: -2.76
Episode: 141, total numsteps: 2856, return: -2.62
Episode: 142, total numsteps: 2890, return: 8.86
Episode: 143, total numsteps: 2905, return: 4.03
Episode: 144, total numsteps: 2929, return: 10.05
Episode: 145, total numsteps: 2946, return: 4.98
Episode: 146, total numsteps: 2972, return: 1.15
Episode: 147, total numsteps: 2987, return: 1.83
Episode: 148, total numsteps: 3012, return: 2.03
Episode: 149, total numsteps: 3021, return: -2.48
Episode: 150, total numsteps: 3045, return: 5.38
Episode: 151, total numsteps: 3097, return: 19.31
Episode: 152, total numsteps: 3115, return: -5.15
Episode: 153, total numsteps: 3134, return: 7.45
Episode: 154, total numsteps: 3150, return: 1.71
Episode: 155, total numsteps: 3167, return: -2.81
Episode: 156, total numsteps: 3195, return: 1.61
Episode: 157, total numsteps: 3224, return: 8.75
Episode: 158, total numsteps: 3235, return: -3.67
Episode: 159, total numsteps: 3243, return: -5.72
Episode: 160, total numsteps: 3271, return: 3.04
Episode: 161, total numsteps: 3288, return: -5.95
Episode: 162, total numsteps: 3312, return: 5.71
Episode: 163, total numsteps: 3350, return: 7.42
Episode: 164, total numsteps: 3365, return: 2.57
Episode: 165, total numsteps: 3382, return: -4.15
Episode: 166, total numsteps: 3433, return: 15.95
Episode: 167, total numsteps: 3450, return: -1.61
Episode: 168, total numsteps: 3479, return: 7.37
Episode: 169, total numsteps: 3521, return: 14.32
Episode: 170, total numsteps: 3540, return: -4.38
Episode: 171, total numsteps: 3559, return: 5.02
Episode: 172, total numsteps: 3582, return: 7.2
Episode: 173, total numsteps: 3593, return: -2.22
Episode: 174, total numsteps: 3611, return: 5.13
Episode: 175, total numsteps: 3625, return: 2.45
Episode: 176, total numsteps: 3642, return: 2.36
Episode: 177, total numsteps: 3665, return: -1.39
Episode: 178, total numsteps: 3712, return: -1.38
Episode: 179, total numsteps: 3727, return: -0.97
Episode: 180, total numsteps: 3740, return: -5.7
Episode: 181, total numsteps: 3756, return: 1.45
Episode: 182, total numsteps: 3768, return: -2.94
Episode: 183, total numsteps: 3799, return: -4.5
Episode: 184, total numsteps: 3832, return: 6.72
Episode: 185, total numsteps: 3846, return: 1.65
Episode: 186, total numsteps: 3859, return: -5.6
Episode: 187, total numsteps: 3884, return: 4.43
Episode: 188, total numsteps: 3902, return: 2.18
Episode: 189, total numsteps: 3911, return: -1.4
Episode: 190, total numsteps: 3933, return: 0.83
Episode: 191, total numsteps: 3962, return: 5.04
Episode: 192, total numsteps: 3984, return: -1.75
Episode: 193, total numsteps: 4019, return: 4.38
Episode: 194, total numsteps: 4048, return: 7.89
Episode: 195, total numsteps: 4068, return: -0.47
Episode: 196, total numsteps: 4086, return: -4.8
Episode: 197, total numsteps: 4099, return: 0.71
Episode: 198, total numsteps: 4112, return: 0.48
Episode: 199, total numsteps: 4134, return: 7.25
Episode: 200, total numsteps: 4146, return: -9.71
Episode: 201, total numsteps: 4158, return: -1.9
Episode: 202, total numsteps: 4172, return: -2.34
Episode: 203, total numsteps: 4183, return: -3.3
Episode: 204, total numsteps: 4196, return: -0.89
Episode: 205, total numsteps: 4211, return: 4.57
Episode: 206, total numsteps: 4222, return: 0.26
Episode: 207, total numsteps: 4249, return: 1.67
Episode: 208, total numsteps: 4271, return: 1.3
Episode: 209, total numsteps: 4306, return: -0.44
Episode: 210, total numsteps: 4322, return: 3.31
Episode: 211, total numsteps: 4347, return: -1.26
Episode: 212, total numsteps: 4362, return: -0.99
Episode: 213, total numsteps: 4375, return: -1.19
Episode: 214, total numsteps: 4392, return: 4.03
Episode: 215, total numsteps: 4408, return: -4.74
Episode: 216, total numsteps: 4439, return: 0.48
Episode: 217, total numsteps: 4476, return: 17.92
Episode: 218, total numsteps: 4494, return: 3.77
Episode: 219, total numsteps: 4514, return: 6.53
Episode: 220, total numsteps: 4530, return: 0.13
Episode: 221, total numsteps: 4547, return: 2.61
Episode: 222, total numsteps: 4565, return: 6.1
Episode: 223, total numsteps: 4576, return: -4.16
Episode: 224, total numsteps: 4623, return: 13.17
Episode: 225, total numsteps: 4645, return: 4.49
Episode: 226, total numsteps: 4658, return: 0.05
Episode: 227, total numsteps: 4676, return: 3.81
Episode: 228, total numsteps: 4694, return: 2.23
Episode: 229, total numsteps: 4723, return: 2.75
Episode: 230, total numsteps: 4746, return: -7.38
Episode: 231, total numsteps: 4796, return: 22.14
Episode: 232, total numsteps: 4815, return: -6.15
Episode: 233, total numsteps: 4826, return: -2.0
Episode: 234, total numsteps: 4852, return: 10.1
Episode: 235, total numsteps: 4874, return: 1.49
Episode: 236, total numsteps: 4888, return: 0.55
Episode: 237, total numsteps: 4906, return: 0.81
Episode: 238, total numsteps: 4947, return: 8.83
Episode: 239, total numsteps: 4971, return: -4.37
Episode: 240, total numsteps: 4991, return: -2.34
Episode: 241, total numsteps: 5014, return: -8.61
Episode: 242, total numsteps: 5026, return: 2.0
Episode: 243, total numsteps: 5040, return: -2.9
Episode: 244, total numsteps: 5061, return: 2.62
Episode: 245, total numsteps: 5076, return: 1.89
Episode: 246, total numsteps: 5089, return: -0.02
Episode: 247, total numsteps: 5114, return: -3.95
Episode: 248, total numsteps: 5133, return: -4.98
Episode: 249, total numsteps: 5149, return: 0.8
Episode: 250, total numsteps: 5180, return: 12.45
Episode: 251, total numsteps: 5204, return: -4.13
Episode: 252, total numsteps: 5228, return: 3.94
Episode: 253, total numsteps: 5244, return: 2.2
Episode: 254, total numsteps: 5259, return: 4.44
Episode: 255, total numsteps: 5290, return: 2.21
Episode: 256, total numsteps: 5314, return: 3.06
Episode: 257, total numsteps: 5331, return: -1.57
Episode: 258, total numsteps: 5353, return: 2.65
Episode: 259, total numsteps: 5369, return: 1.16
Episode: 260, total numsteps: 5380, return: 0.17
Episode: 261, total numsteps: 5391, return: -2.32
Episode: 262, total numsteps: 5411, return: -2.73
Episode: 263, total numsteps: 5454, return: 13.0
Episode: 264, total numsteps: 5475, return: -1.52
Episode: 265, total numsteps: 5498, return: -2.34
Episode: 266, total numsteps: 5516, return: 1.35
Episode: 267, total numsteps: 5539, return: 1.84
Episode: 268, total numsteps: 5552, return: 0.13
Episode: 269, total numsteps: 5596, return: 10.65
Episode: 270, total numsteps: 5607, return: -3.4
Episode: 271, total numsteps: 5628, return: 3.37
Episode: 272, total numsteps: 5654, return: 7.83
Episode: 273, total numsteps: 5681, return: -3.31
Episode: 274, total numsteps: 5696, return: 3.17
Episode: 275, total numsteps: 5711, return: 2.2
Episode: 276, total numsteps: 5736, return: 7.76
Episode: 277, total numsteps: 5754, return: 6.18
Episode: 278, total numsteps: 5767, return: 1.06
Episode: 279, total numsteps: 5793, return: -0.79
Episode: 280, total numsteps: 5819, return: 7.12
Episode: 281, total numsteps: 5834, return: 0.94
Episode: 282, total numsteps: 5853, return: 0.91
Episode: 283, total numsteps: 5870, return: -1.31
Episode: 284, total numsteps: 5885, return: -3.13
Episode: 285, total numsteps: 5922, return: 13.71
Episode: 286, total numsteps: 5943, return: -2.0
Episode: 287, total numsteps: 5955, return: -0.34
Episode: 288, total numsteps: 5980, return: 2.14
Episode: 289, total numsteps: 5992, return: -1.43
Episode: 290, total numsteps: 6007, return: -0.72
Episode: 291, total numsteps: 6028, return: 2.17
Episode: 292, total numsteps: 6057, return: -13.18
Episode: 293, total numsteps: 6067, return: -2.13
Episode: 294, total numsteps: 6075, return: -4.75
Episode: 295, total numsteps: 6090, return: -0.89
Episode: 296, total numsteps: 6121, return: -0.57
Episode: 297, total numsteps: 6143, return: 5.68
Episode: 298, total numsteps: 6153, return: -3.27
Episode: 299, total numsteps: 6175, return: -1.06
Episode: 300, total numsteps: 6197, return: -8.2
Episode: 301, total numsteps: 6223, return: 6.53
Episode: 302, total numsteps: 6239, return: -2.9
Episode: 303, total numsteps: 6260, return: 1.07
Episode: 304, total numsteps: 6289, return: -0.52
Episode: 305, total numsteps: 6318, return: 5.33
Episode: 306, total numsteps: 6342, return: 2.45
Episode: 307, total numsteps: 6369, return: 8.74
Episode: 308, total numsteps: 6386, return: 3.4
Episode: 309, total numsteps: 6396, return: -2.93
Episode: 310, total numsteps: 6411, return: 3.17
Episode: 311, total numsteps: 6435, return: 0.33
Episode: 312, total numsteps: 6450, return: -0.73
Episode: 313, total numsteps: 6474, return: -4.43
Episode: 314, total numsteps: 6488, return: -3.68
