Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=24, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=1.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=3, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 198, total numsteps: 4299, return: 7.73
Episode: 199, total numsteps: 4316, return: 5.16
Episode: 200, total numsteps: 4330, return: -3.94
Episode: 201, total numsteps: 4351, return: 0.28
Episode: 202, total numsteps: 4365, return: -2.65
Episode: 203, total numsteps: 4401, return: 7.74
Episode: 204, total numsteps: 4424, return: -5.66
Episode: 205, total numsteps: 4443, return: 2.98
Episode: 206, total numsteps: 4483, return: 6.71
Episode: 207, total numsteps: 4509, return: 5.66
Episode: 208, total numsteps: 4531, return: 1.37
Episode: 209, total numsteps: 4549, return: -4.92
Episode: 210, total numsteps: 4563, return: -2.72
Episode: 211, total numsteps: 4577, return: -1.64
Episode: 212, total numsteps: 4602, return: 10.95
Episode: 213, total numsteps: 4624, return: -0.19
Episode: 214, total numsteps: 4635, return: -4.11
Episode: 215, total numsteps: 4654, return: 4.71
Episode: 216, total numsteps: 4667, return: -7.11
Episode: 217, total numsteps: 4702, return: 12.27
Episode: 218, total numsteps: 4714, return: -0.24
Episode: 219, total numsteps: 4745, return: 5.38
Episode: 220, total numsteps: 4774, return: 5.7
Episode: 221, total numsteps: 4793, return: -3.01
Episode: 222, total numsteps: 4826, return: 5.56
Episode: 223, total numsteps: 4848, return: 5.76
Episode: 224, total numsteps: 4862, return: 2.14
Episode: 225, total numsteps: 4882, return: -5.89
Episode: 226, total numsteps: 4903, return: -7.45
Episode: 227, total numsteps: 4927, return: -0.75
Episode: 228, total numsteps: 4946, return: 4.33
Episode: 229, total numsteps: 4981, return: -2.21
Episode: 230, total numsteps: 4999, return: 0.88
Episode: 231, total numsteps: 5017, return: 2.88
Episode: 232, total numsteps: 5034, return: 3.07
Episode: 233, total numsteps: 5044, return: -2.79
Episode: 234, total numsteps: 5065, return: -1.1
Episode: 235, total numsteps: 5081, return: 0.39
Episode: 236, total numsteps: 5094, return: 1.98
Episode: 237, total numsteps: 5118, return: -2.2
Episode: 238, total numsteps: 5135, return: -1.54
Episode: 239, total numsteps: 5152, return: 1.49
Episode: 240, total numsteps: 5173, return: 4.99
Episode: 241, total numsteps: 5186, return: -2.5
Episode: 242, total numsteps: 5198, return: 0.44
Episode: 243, total numsteps: 5223, return: 9.66
Episode: 244, total numsteps: 5242, return: 3.81
Episode: 245, total numsteps: 5258, return: 3.43
Episode: 246, total numsteps: 5303, return: 19.64
Episode: 247, total numsteps: 5327, return: 12.19
Episode: 248, total numsteps: 5349, return: -1.93
Episode: 249, total numsteps: 5371, return: -10.66
Episode: 250, total numsteps: 5389, return: 0.3
Episode: 251, total numsteps: 5409, return: -1.75
Episode: 252, total numsteps: 5448, return: 7.59
Episode: 253, total numsteps: 5461, return: -1.81
Episode: 254, total numsteps: 5477, return: -2.85
Episode: 255, total numsteps: 5487, return: -1.04
Episode: 256, total numsteps: 5511, return: 3.27
Episode: 257, total numsteps: 5531, return: -2.38
Episode: 258, total numsteps: 5544, return: 2.15
