[INFO] Using run: jolly-water-235 (47h6gdg8)
cuda
Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=2, num_train_steps=1000000, learning_starts=20000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=10000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=1.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=2, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30, use_rpc=1)
RPC: True
[save_snapshot] saved /home/harsh/arjun/robust-predictable-control/checkpoints/RPC_Walker2d-v5/2025-10-16_13-25-46_RPC_Walker2d-v5_seed_2_kl_1_47h6gdg8/0.pt
Episode: 192, total numsteps: 4124, return: 0.9
Episode: 193, total numsteps: 4150, return: 3.33
Episode: 194, total numsteps: 4160, return: -0.55
Episode: 195, total numsteps: 4178, return: -5.77
Episode: 196, total numsteps: 4202, return: -3.92
Episode: 197, total numsteps: 4222, return: -1.94
Episode: 198, total numsteps: 4247, return: -0.04
Episode: 199, total numsteps: 4280, return: 4.03
Episode: 200, total numsteps: 4295, return: 0.16
Episode: 201, total numsteps: 4323, return: -1.57
Episode: 202, total numsteps: 4341, return: -4.23
Episode: 203, total numsteps: 4360, return: -1.97
Episode: 204, total numsteps: 4378, return: 2.94
Episode: 205, total numsteps: 4411, return: 7.11
Episode: 206, total numsteps: 4441, return: 7.81
Episode: 207, total numsteps: 4464, return: 8.45
Episode: 208, total numsteps: 4490, return: 4.66
Episode: 209, total numsteps: 4513, return: 5.74
Episode: 210, total numsteps: 4524, return: -1.4
Episode: 211, total numsteps: 4543, return: -1.78
Episode: 212, total numsteps: 4580, return: 19.12
Episode: 213, total numsteps: 4590, return: -2.69
Episode: 214, total numsteps: 4638, return: 15.78
Episode: 215, total numsteps: 4682, return: 13.45
Episode: 216, total numsteps: 4699, return: 3.98
Episode: 217, total numsteps: 4719, return: 7.14
Episode: 218, total numsteps: 4728, return: -2.56
Episode: 219, total numsteps: 4752, return: -0.36
Episode: 220, total numsteps: 4789, return: -4.32
Episode: 221, total numsteps: 4809, return: -1.28
Episode: 222, total numsteps: 4827, return: -3.56
Episode: 223, total numsteps: 4857, return: 0.94
Episode: 224, total numsteps: 4872, return: 1.06
Episode: 225, total numsteps: 4889, return: -1.51
Episode: 226, total numsteps: 4908, return: 3.7
Episode: 227, total numsteps: 4932, return: 3.69
Episode: 228, total numsteps: 4947, return: 1.21
Episode: 229, total numsteps: 4959, return: -3.33
Episode: 230, total numsteps: 4988, return: 1.24
Episode: 231, total numsteps: 5001, return: 0.24
Episode: 232, total numsteps: 5028, return: 5.53
Episode: 233, total numsteps: 5053, return: -6.81
Episode: 234, total numsteps: 5083, return: -1.43
Episode: 235, total numsteps: 5113, return: 8.19
Episode: 236, total numsteps: 5137, return: 1.1
Episode: 237, total numsteps: 5194, return: 21.04
Episode: 238, total numsteps: 5221, return: 6.78
Episode: 239, total numsteps: 5245, return: 8.1
Episode: 240, total numsteps: 5260, return: -8.7
Episode: 241, total numsteps: 5293, return: 1.55
Episode: 242, total numsteps: 5314, return: 0.11
Episode: 243, total numsteps: 5328, return: -0.36
Episode: 244, total numsteps: 5339, return: -5.56
Episode: 245, total numsteps: 5359, return: -1.23
Episode: 246, total numsteps: 5377, return: -2.82
Episode: 247, total numsteps: 5414, return: 7.84
Episode: 248, total numsteps: 5426, return: -0.1
Episode: 249, total numsteps: 5455, return: 0.27
Episode: 250, total numsteps: 5479, return: 4.85
Episode: 251, total numsteps: 5501, return: -0.47
Episode: 252, total numsteps: 5529, return: 7.11
Episode: 253, total numsteps: 5558, return: 6.13
Episode: 254, total numsteps: 5568, return: -1.68
Episode: 255, total numsteps: 5587, return: 3.76
Episode: 256, total numsteps: 5612, return: 0.17
Episode: 257, total numsteps: 5653, return: 10.39
Episode: 258, total numsteps: 5675, return: 5.09
Episode: 259, total numsteps: 5726, return: 18.43
Episode: 260, total numsteps: 5743, return: -6.66
Episode: 261, total numsteps: 5770, return: -3.01
Episode: 262, total numsteps: 5811, return: -2.19
Episode: 263, total numsteps: 5835, return: 3.46
Episode: 264, total numsteps: 5863, return: 13.05
Episode: 265, total numsteps: 5879, return: -0.39
Episode: 266, total numsteps: 5900, return: -2.67
Episode: 267, total numsteps: 5920, return: 4.96
Episode: 268, total numsteps: 5943, return: -7.23
Episode: 269, total numsteps: 5968, return: -2.76
Episode: 270, total numsteps: 5991, return: 4.95
Episode: 271, total numsteps: 6014, return: 2.46
Episode: 272, total numsteps: 6024, return: -1.43
Episode: 273, total numsteps: 6037, return: 3.25
